,time,16400,16450,16500,16550,16600
318,2023-10-06 21:35,187.0,172.0,166.0,170.0,183.5
319,2023-10-06 21:36,186.0,170.0,166.0,170.0,186.0
320,2023-10-06 21:37,186.0,169.0,162.0,171.0,184.5
321,2023-10-06 21:38,184.0,171.0,167.0,173.0,189.0
322,2023-10-06 21:39,182.0,169.0,167.0,172.5,187.0
323,2023-10-06 21:40,182.0,169.0,165.0,171.0,184.5
324,2023-10-06 21:41,181.0,169.0,164.0,171.0,189.5
325,2023-10-06 21:42,184.0,170.0,164.0,169.5,185.0
326,2023-10-06 21:43,182.0,170.0,164.0,170.0,182.0
327,2023-10-06 21:44,184.0,171.0,165.0,170.0,181.0
328,2023-10-06 21:45,184.0,171.0,166.0,170.0,186.0
329,2023-10-06 21:46,188.5,172.0,163.0,167.0,180.0
330,2023-10-06 21:47,190.0,171.0,161.0,164.0,182.5
331,2023-10-06 21:48,189.0,172.0,164.0,169.0,180.0
332,2023-10-06 21:49,185.0,172.0,164.0,171.0,178.5
333,2023-10-06 21:50,183.0,169.0,166.0,170.0,187.0
334,2023-10-06 21:51,183.0,170.0,166.0,173.0,189.5
335,2023-10-06 21:52,184.0,171.0,166.0,172.0,188.0
336,2023-10-06 21:53,182.0,171.0,166.0,175.5,187.5
337,2023-10-06 21:54,183.0,171.0,167.0,172.0,189.0
338,2023-10-06 21:56,183.0,171.0,167.0,175.0,190.5
339,2023-10-06 21:57,182.0,170.0,167.0,175.5,192.5
340,2023-10-06 21:58,185.0,171.0,167.0,176.0,187.5
341,2023-10-06 21:59,184.0,171.0,166.0,171.0,186.5
342,2023-10-06 22:00,181.0,170.0,167.0,171.0,184.0
343,2023-10-06 22:01,183.0,170.0,166.0,172.0,189.0
344,2023-10-06 22:02,181.0,169.0,165.0,172.0,190.5
345,2023-10-06 22:03,183.0,170.0,165.0,172.5,186.5
346,2023-10-06 22:04,179.0,169.0,168.0,175.0,192.0
347,2023-10-06 22:05,182.0,171.0,167.0,176.0,192.5
348,2023-10-06 22:06,180.0,169.0,169.0,173.0,194.0
349,2023-10-06 22:07,183.0,169.0,168.0,175.0,191.0
350,2023-10-06 22:08,176.0,169.0,168.0,174.5,193.0
351,2023-10-06 22:09,182.0,167.0,167.0,173.5,192.5
352,2023-10-06 22:10,181.0,169.0,167.0,174.0,192.5
353,2023-10-06 22:11,183.0,169.0,166.0,176.5,194.0
354,2023-10-06 22:12,182.0,170.0,165.0,174.0,194.0
355,2023-10-06 22:13,184.0,169.0,165.0,171.0,185.5
356,2023-10-06 22:14,183.0,168.0,165.0,172.0,185.5
357,2023-10-06 22:15,185.0,169.0,164.0,171.0,183.5
358,2023-10-06 22:16,187.0,170.0,165.0,169.0,183.0
359,2023-10-06 22:17,184.0,170.0,165.0,169.0,185.0
360,2023-10-06 22:18,186.0,170.0,164.0,169.0,184.0
361,2023-10-06 22:19,185.0,170.0,164.0,169.0,184.0
362,2023-10-06 22:20,183.0,171.0,165.0,167.0,185.5
363,2023-10-06 22:21,181.0,168.0,165.0,171.5,190.5
364,2023-10-06 22:22,184.0,171.0,165.0,177.0,186.0
365,2023-10-06 22:23,186.0,170.0,164.0,169.0,183.0
366,2023-10-06 22:24,187.5,171.0,164.0,169.0,179.0
367,2023-10-06 22:26,187.5,170.0,161.0,164.0,178.0
368,2023-10-06 22:27,188.5,171.0,163.0,163.0,176.0
369,2023-10-06 22:28,188.0,171.0,162.0,165.0,178.0
370,2023-10-06 22:29,189.0,171.0,161.0,163.0,173.0
371,2023-10-06 22:30,189.5,170.0,160.0,161.0,173.0
372,2023-10-06 22:32,193.5,173.0,159.0,157.0,166.0
373,2023-10-06 22:33,195.5,174.0,160.0,156.0,165.0
374,2023-10-06 22:34,197.5,175.0,161.0,159.0,164.0
375,2023-10-06 22:35,195.5,174.0,161.0,158.0,165.5
376,2023-10-06 22:36,199.5,177.0,161.0,158.0,165.5
377,2023-10-06 22:38,199.5,177.0,164.0,160.0,167.0
378,2023-10-06 22:39,201.0,179.0,163.0,158.0,164.5
379,2023-10-06 22:40,201.0,180.0,164.0,159.0,166.0
380,2023-10-06 22:41,201.5,179.5,164.0,160.0,164.5
381,2023-10-06 22:42,203.5,178.0,164.0,160.0,163.5
382,2023-10-06 22:43,197.5,177.0,161.0,160.0,167.0
383,2023-10-06 22:44,197.0,176.0,161.0,158.0,165.5
384,2023-10-06 22:45,198.0,176.0,162.0,159.0,164.5
385,2023-10-06 22:46,198.0,179.0,160.0,158.0,164.0
386,2023-10-06 22:47,198.5,178.0,161.0,158.0,164.0
387,2023-10-06 22:48,205.5,180.5,163.0,157.0,159.0
388,2023-10-06 22:49,203.5,179.5,163.0,155.0,160.0
389,2023-10-06 22:50,202.5,179.0,163.0,156.0,161.5
390,2023-10-06 22:51,202.5,179.0,163.0,157.0,160.0
391,2023-10-06 22:52,201.0,178.0,163.0,156.0,162.0
392,2023-10-06 22:53,201.5,179.0,163.0,157.0,161.0
393,2023-10-06 22:54,200.0,179.5,163.0,158.0,163.0
394,2023-10-06 22:55,198.0,177.0,161.0,157.0,162.0
395,2023-10-06 22:56,198.0,175.0,160.0,157.0,162.5
396,2023-10-06 22:57,193.0,171.0,158.0,156.0,164.0
397,2023-10-06 22:58,197.0,174.5,160.0,155.0,164.5
398,2023-10-06 22:59,197.5,174.0,160.0,156.0,161.0
399,2023-10-06 23:00,201.0,176.5,161.0,155.0,160.5
400,2023-10-06 23:01,202.0,178.0,161.0,154.0,160.5
401,2023-10-06 23:02,200.0,175.5,161.0,155.0,161.0
402,2023-10-06 23:03,200.0,176.5,160.0,155.0,160.5
403,2023-10-06 23:04,200.0,175.0,158.0,153.0,160.0
404,2023-10-06 23:05,206.5,179.0,161.0,153.0,157.0
405,2023-10-06 23:06,206.5,180.0,160.0,154.0,157.0
406,2023-10-06 23:07,206.5,180.0,161.0,154.0,159.0
407,2023-10-06 23:08,208.0,181.5,162.0,154.0,154.0
408,2023-10-06 23:09,208.5,181.0,163.0,152.0,155.0
409,2023-10-06 23:10,209.0,182.5,162.0,154.0,151.0
410,2023-10-06 23:11,210.5,183.5,162.0,153.0,154.0
411,2023-10-06 23:12,208.5,179.5,162.0,153.0,155.0
412,2023-10-06 23:13,213.0,183.5,163.0,154.0,152.0
413,2023-10-06 23:14,211.5,185.0,161.0,154.0,154.0
414,2023-10-06 23:15,211.5,183.0,163.0,153.0,153.0
415,2023-10-06 23:16,209.5,180.5,162.0,153.0,154.0
416,2023-10-06 23:17,207.5,182.0,162.0,153.0,154.0
417,2023-10-06 23:18,211.0,184.5,165.0,154.0,155.0
418,2023-10-06 23:19,210.0,182.5,162.0,154.0,156.0
419,2023-10-06 23:20,208.0,181.5,163.0,153.0,156.0
420,2023-10-06 23:21,207.0,181.0,163.0,153.0,154.0
421,2023-10-06 23:23,211.0,184.0,163.0,152.0,152.0
